Code_GHM,Libelle_GHS,Tarif_Public_2022,Tarif_Prive_2022,Tarif_Public_2023,Tarif_Prive_2023,Tarif_Public_2024,Tarif_Prive_2024
01K05J,"Séjours pour douleurs chroniques irréductibles comprenant un bloc ou une infiltration, en ambulatoire",275.3,453.2,294.0,476.85,303.44,476.9
01K06J,"Affections du système nerveux sans acte opératoire avec anesthésie, en ambulatoire",973.0,598.0,1041.0,629.27,1100.98,645.9
01K071,"Embolisations intracrâniennes et médullaires pour hémorragie, niveau 1",9906.7,2016.0,10597.0,2121.27,10920.66,2121.3
01K072,"Embolisations intracrâniennes et médullaires pour hémorragie, niveau 2",10346.1,3045.2,11067.0,3204.21,11405.01,3204.2
01K073,"Embolisations intracrâniennes et médullaires pour hémorragie, niveau 3",16023.0,4722.7,17140.0,4969.35,17662.98,4969.4
01K074,"Embolisations intracrâniennes et médullaires pour hémorragie, niveau 4",25187.6,5444.4,26943.0,5728.72,27765.54,5728.7
01M041,"Méningites virales, niveau 1",1800.2,680.6,1926.0,716.18,2036.85,735.1
01M042,"Méningites virales, niveau 2",3548.5,2371.5,3796.0,2495.36,4015.03,2561.3
01M043,"Méningites virales, niveau 3",6658.3,3912.7,7122.0,4117.05,7533.76,4225.9
01M044,"Méningites virales, niveau 4",10786.7,5026.1,11538.0,5288.6,12204.95,5428.4
01M04T,"Méningites virales, très courte durée",406.7,203.5,435.0,214.16,448.3,219.8
01M051,"Infections du système nerveux à l'exception des méningites virales, niveau 1",2772.9,1053.1,2966.0,1108.05,3137.51,1137.3
01M052,"Infections du système nerveux à l'exception des méningites virales, niveau 2",5838.1,2199.8,6245.0,2314.74,6605.66,2375.9
01M053,"Infections du système nerveux à l'exception des méningites virales, niveau 3",8375.7,3487.4,8959.0,3669.51,9476.91,3766.5
01M054,"Infections du système nerveux à l'exception des méningites virales, niveau 4",13981.9,6274.3,14956.0,6602.0,15820.21,6776.5
01M05T,"Infections du système nerveux à l'exception des méningites virales, très courte durée",885.6,229.7,947.0,241.68,1002.07,248.1
01M071,"Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 1",1593.1,1179.0,1704.0,1240.53,1802.55,1273.3
01M072,"Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 2",4230.9,2154.6,4526.0,2267.18,4787.14,2327.1
01M073,"Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 3",5375.5,2428.0,5750.0,2554.77,6082.23,2622.3
01M074,"Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 4",7158.7,4080.4,7658.0,4293.49,8099.92,4407.0
01M07T,"Maladies dégénératives du système nerveux, âge supérieur à 79 ans, très courte durée",355.4,120.6,380.0,126.88,391.82,130.2
01M081,"Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 1",1545.6,880.6,1653.0,926.64,1748.79,951.1
01M082,"Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 2",4110.0,2225.9,4396.0,2342.19,4650.43,2404.1
01M083,"Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 3",6221.7,2763.2,6655.0,2907.51,7039.74,2984.4
01M084,"Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 4",9932.0,4862.7,10624.0,5116.67,11237.82,5251.9
01M08T,"Maladies dégénératives du système nerveux, âge inférieur à 80 ans, très courte durée",355.4,122.5,380.0,128.87,391.82,128.9
01M091,"Affections et lésions du rachis et de la moelle, niveau 1",1674.9,684.2,1792.0,719.96,1895.12,739.0
01M092,"Affections et lésions du rachis et de la moelle, niveau 2",4930.0,2175.7,5274.0,2289.36,5578.14,2349.9
01M093,"Affections et lésions du rachis et de la moelle, niveau 3",7929.3,3636.7,8482.0,3826.61,8971.79,3927.7
01M094,"Affections et lésions du rachis et de la moelle, niveau 4",12628.1,6785.3,13508.0,7139.69,14288.48,7328.4
01M09T,"Affections et lésions du rachis et de la moelle, très courte durée",598.6,122.5,640.0,128.87,677.32,128.9
01M101,"Autres affections cérébrovasculaires, niveau 1",1858.0,988.0,1987.0,1039.59,2102.28,1067.1
01M102,"Autres affections cérébrovasculaires, niveau 2",4150.8,2020.7,4440.0,2126.19,4696.6,2182.4
01M103,"Autres affections cérébrovasculaires, niveau 3",6966.8,2559.7,7452.0,2693.4,7882.84,2764.6
01M104,"Autres affections cérébrovasculaires, niveau 4",12339.7,4388.2,13200.0,4617.4,13962.16,4739.4
01M10T,"Autres affections cérébrovasculaires, très courte durée",406.7,237.4,435.0,249.75,448.3,256.4
01M111,"Affections des nerfs crâniens et rachidiens, niveau 1",2166.2,986.5,2317.0,1037.98,2451.0,1065.4
01M112,"Affections des nerfs crâniens et rachidiens, niveau 2",3484.0,1654.2,3727.0,1740.64,3942.09,1786.6
01M113,"Affections des nerfs crâniens et rachidiens, niveau 3",5716.5,2175.5,6115.0,2289.15,6468.12,2349.6
01M114,"Affections des nerfs crâniens et rachidiens, niveau 4",9592.0,3739.0,10260.0,3934.28,10853.18,4038.3
01M11T,"Affections des nerfs crâniens et rachidiens, très courte durée",685.8,201.3,734.0,211.78,775.96,211.8
01M121,"Autres affections du système nerveux, niveau 1",1924.4,842.7,2058.0,886.67,2177.37,910.1
01M122,"Autres affections du système nerveux, niveau 2",3737.7,1677.5,3998.0,1765.15,4229.12,1811.8
01M123,"Autres affections du système nerveux, niveau 3",6249.9,2359.7,6685.0,2482.97,7071.66,2548.6
01M124,"Autres affections du système nerveux, niveau 4",8807.1,4028.1,9421.0,4238.49,9965.09,4350.5
01M12T,"Autres affections du système nerveux, très courte durée",406.7,250.3,435.0,263.37,448.3,270.3
01M131,"Troubles de la conscience et comas d'origine non traumatique, niveau 1",355.4,394.4,380.0,414.97,391.82,425.9
01M132,"Troubles de la conscience et comas d'origine non traumatique, niveau 2",3178.6,1108.6,3400.0,1166.46,3596.51,1197.3
01M133,"Troubles de la conscience et comas d'origine non traumatique, niveau 3",5275.2,1789.8,5643.0,1883.25,5968.78,1933.0
01M134,"Troubles de la conscience et comas d'origine non traumatique, niveau 4",9994.2,3609.7,10691.0,3798.19,11308.26,3898.6
01M151,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 1",2482.8,1296.3,2656.0,1363.96,2809.25,1400.0
01M152,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 2",3204.7,1628.2,3428.0,1713.19,3626.01,1758.5
01M153,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 3",4533.4,2191.9,4849.0,2306.43,5129.46,2367.4
01M154,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 4",7640.0,3883.9,8172.0,4086.71,8644.49,4194.7
01M15T,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, très courte durée",777.2,662.1,831.0,696.71,879.37,715.1
01M161,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 1",2323.4,1163.5,2485.0,1224.24,2628.85,1256.6
01M162,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 2",2858.1,1578.7,3057.0,1661.12,3233.83,1705.0
01M163,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 3",4929.8,2623.2,5273.0,2760.16,5578.0,2833.1
01M164,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 4",9147.6,3919.0,9785.0,4123.73,10350.36,4232.7
01M16T,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, très courte durée",864.1,765.2,924.0,805.13,977.76,826.4
01M171,"Sclérose en plaques et ataxie cérébelleuse, niveau 1",1304.5,623.5,1395.0,656.06,1475.98,673.4
01M172,"Sclérose en plaques et ataxie cérébelleuse, niveau 2",3317.3,1285.8,3548.0,1352.92,3753.46,1388.7
01M173,"Sclérose en plaques et ataxie cérébelleuse, niveau 3",6113.8,1830.8,6540.0,1926.47,6917.61,1977.4
01M174,"Sclérose en plaques et ataxie cérébelleuse, niveau 4",10407.6,3138.2,11133.0,3302.16,11775.95,3389.4
01M17T,"Sclérose en plaques et ataxie cérébelleuse, très courte durée",482.6,221.5,516.0,233.03,546.06,239.2
01M181,"Lésions traumatiques intracrâniennes sévères, niveau 1",2153.1,643.8,2303.0,677.41,2436.2,695.3
01M182,"Lésions traumatiques intracrâniennes sévères, niveau 2",4348.5,1917.1,4652.0,2017.2,4920.25,2070.5
01M183,"Lésions traumatiques intracrâniennes sévères, niveau 3",7168.5,3101.7,7668.0,3263.66,8110.99,3349.9
01M184,"Lésions traumatiques intracrâniennes sévères, niveau 4",12345.3,6306.1,13206.0,6635.48,13968.42,6810.8
01M18T,"Lésions traumatiques intracrâniennes sévères, très courte durée",879.1,251.4,940.0,264.5,994.64,271.5
01M191,"Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 1",469.9,122.5,503.0,128.87,518.03,128.9
01M192,"Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 2",3647.9,1651.1,3902.0,1737.36,4127.51,1783.3
01M193,"Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 3",5433.1,2359.2,5812.0,2482.47,6147.46,2548.1
01M194,"Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 4",9051.7,3797.8,9682.0,3996.17,10241.79,4101.8
01M201,"Commotions cérébrales, niveau 1",355.4,285.4,380.0,300.32,391.82,300.3
01M202,"Commotions cérébrales, niveau 2",2564.8,542.2,2743.0,570.48,2901.98,585.6
01M203,"Commotions cérébrales, niveau 3",3819.3,784.3,4085.0,825.22,4321.42,847.0
01M204,"Commotions cérébrales, niveau 4",5904.3,1382.8,6316.0,1455.0,6680.59,1493.5
01M211,"Douleurs chroniques irréductibles, niveau 1",1627.5,1094.3,1741.0,1151.49,1841.48,1181.9
01M212,"Douleurs chroniques irréductibles, niveau 2",3126.0,1980.6,3344.0,2084.06,3537.03,2139.1
01M213,"Douleurs chroniques irréductibles, niveau 3",5693.2,2811.8,6090.0,2958.64,6441.78,3036.8
01M214,"Douleurs chroniques irréductibles, niveau 4",9229.5,4230.4,9873.0,4451.32,10442.99,4569.0
01M21T,"Douleurs chroniques irréductibles, très courte durée",439.4,432.7,470.0,455.25,497.14,467.3
01M221,"Migraines et céphalées, niveau 1",874.1,472.4,935.0,497.1,989.02,510.2
01M222,"Migraines et céphalées, niveau 2",2354.4,1094.1,2518.0,1151.28,2663.93,1181.7
01M223,"Migraines et céphalées, niveau 3",3270.2,1512.4,3498.0,1591.39,3700.19,1633.5
01M224,"Migraines et céphalées, niveau 4",5606.9,2666.0,5998.0,2805.29,6344.08,2879.4
01M22T,"Migraines et céphalées, très courte durée",355.4,472.4,380.0,497.1,391.82,510.2
01M231,"Convulsions hyperthermiques, niveau 1",406.7,238.5,435.0,251.0,448.3,251.0
01M232,"Convulsions hyperthermiques, niveau 2",2589.6,2136.8,2770.0,2248.38,2930.04,2307.8
01M233,"Convulsions hyperthermiques, niveau 3",3968.6,2357.8,4245.0,2480.91,4490.44,2546.5
01M234,"Convulsions hyperthermiques, niveau 4",6570.7,5198.2,7029.0,5469.66,7434.67,5614.2
01M241,"Epilepsie, âge inférieur à 18 ans, niveau 1",1771.4,826.6,1895.0,869.82,2004.3,892.8
01M242,"Epilepsie, âge inférieur à 18 ans, niveau 2",3862.6,1925.9,4132.0,2026.46,4370.49,2080.0
01M243,"Epilepsie, âge inférieur à 18 ans, niveau 3",7216.2,2125.0,7719.0,2236.01,8164.95,2295.1
01M244,"Epilepsie, âge inférieur à 18 ans, niveau 4",11349.4,4685.0,12140.0,4929.74,12841.62,5060.0
01M24T,"Epilepsie, âge inférieur à 18 ans, très courte durée",355.4,152.3,380.0,160.24,391.82,160.2
01M251,"Epilepsie, âge supérieur à 17 ans, niveau 1",1576.2,820.0,1686.0,862.79,1783.43,885.6
01M252,"Epilepsie, âge supérieur à 17 ans, niveau 2",2807.6,1876.2,3003.0,1974.16,3176.73,2026.3
01M253,"Epilepsie, âge supérieur à 17 ans, niveau 3",4425.0,2421.1,4733.0,2547.54,5006.8,2614.9
01M254,"Epilepsie, âge supérieur à 17 ans, niveau 4",6808.5,3750.7,7283.0,3946.61,7703.63,4050.9
01M25T,"Epilepsie, âge supérieur à 17 ans, très courte durée",675.6,201.3,723.0,211.78,764.44,211.8
01M261,"Tumeurs malignes du système nerveux, niveau 1",2624.3,2307.8,2807.0,2428.34,2969.38,2492.5
01M262,"Tumeurs malignes du système nerveux, niveau 2",4743.4,3606.0,5074.0,3794.38,5367.08,3894.7
01M263,"Tumeurs malignes du système nerveux, niveau 3",7490.5,4867.5,8012.0,5121.69,8475.3,5257.0
01M264,"Tumeurs malignes du système nerveux, niveau 4",10561.7,8134.8,11298.0,8559.66,11950.35,8785.9
01M26T,"Tumeurs malignes du système nerveux, très courte durée",355.4,152.3,380.0,160.24,391.82,160.2
01M271,"Autres tumeurs du système nerveux, niveau 1",2012.6,1103.4,2153.0,1160.99,2277.24,1191.7
01M272,"Autres tumeurs du système nerveux, niveau 2",3574.7,2567.0,3824.0,2701.06,4044.64,2772.4
01M273,"Autres tumeurs du système nerveux, niveau 3",5427.3,3526.2,5806.0,3710.34,6140.88,3808.4
01M274,"Autres tumeurs du système nerveux, niveau 4",9575.9,5181.7,10243.0,5452.37,10834.89,5596.5
01M27T,"Autres tumeurs du système nerveux, très courte durée",849.7,152.3,909.0,160.24,961.47,160.2
01M281,"Hydrocéphalies, niveau 1",1161.5,746.0,1242.0,785.01,1314.25,805.8
01M282,"Hydrocéphalies, niveau 2",3301.8,1639.3,3532.0,1724.96,3735.95,1770.6
01M283,"Hydrocéphalies, niveau 3",5317.3,2235.5,5688.0,2352.27,6016.45,2414.4
01M284,"Hydrocéphalies, niveau 4",8831.6,3831.9,9447.0,4032.04,9992.83,4138.6
01M28T,"Hydrocéphalies, très courte durée",355.4,152.3,380.0,160.24,391.82,160.2
01M291,"Anévrysmes cérébraux, niveau 1",750.1,819.2,802.0,861.96,826.9,884.7
01M292,"Anévrysmes cérébraux, niveau 2",6217.6,2343.3,6651.0,2465.73,7035.06,2530.9
01M293,"Anévrysmes cérébraux, niveau 3",9322.7,3436.9,9972.0,3616.39,10548.5,3712.0
01M294,"Anévrysmes cérébraux, niveau 4",15435.3,7577.3,16511.0,7973.04,17464.73,8183.7
01M301,"Accidents vasculaires intracérébraux non transitoires, niveau 1",3136.0,1611.3,3355.0,1695.41,3548.37,1740.2
01M302,"Accidents vasculaires intracérébraux non transitoires, niveau 2",4862.4,2461.6,5201.0,2590.13,5501.75,2658.6
01M303,"Accidents vasculaires intracérébraux non transitoires, niveau 3",6891.6,3511.1,7372.0,3694.49,7797.74,3792.1
01M304,"Accidents vasculaires intracérébraux non transitoires, niveau 4",9793.4,5847.1,10476.0,6152.54,11081.08,6315.1
01M30T,Transferts et autres séjours courts pour accidents vasculaires intracérébraux non transitoires,469.9,168.3,503.0,177.05,518.03,177.1
01M311,"Autres accidents vasculaires cérébraux non transitoires, niveau 1",3139.8,1571.4,3359.0,1653.46,3552.65,1697.2
01M312,"Autres accidents vasculaires cérébraux non transitoires, niveau 2",4789.1,3028.2,5123.0,3186.39,5418.78,3270.6
01M313,"Autres accidents vasculaires cérébraux non transitoires, niveau 3",7353.6,4358.8,7866.0,4586.51,8320.5,4707.7
01M314,"Autres accidents vasculaires cérébraux non transitoires, niveau 4",9632.3,7430.5,10304.0,7818.63,10898.76,8025.3
01M31T,Transferts et autres séjours courts pour autres accidents vasculaires cérébraux non transitoires,836.2,311.7,894.0,328.01,946.1,336.7
01M32Z,Explorations et surveillance pour affections du système nerveux,819.7,285.4,877.0,300.32,927.43,300.3
01M331,"Troubles du sommeil, niveau 1",756.6,414.3,809.0,435.97,856.07,447.5
01M332,"Troubles du sommeil, niveau 2",2065.8,1442.1,2210.0,1517.37,2337.37,1557.5
01M333,"Troubles du sommeil, niveau 3",2893.7,2108.3,3095.0,2218.45,3274.11,2277.1
01M334,"Troubles du sommeil, niveau 4",5140.2,4648.2,5498.0,4891.02,5816.0,5020.3
01M34T,"Anomalies de la démarche d'origine neurologique, très courte durée",680.2,305.5,728.0,321.49,769.65,330.0
01M34Z,Anomalies de la démarche d'origine neurologique,3605.1,1845.8,3856.0,1942.23,4079.05,1993.6
01M35T,"Symptômes et autres recours aux soins de la CMD 01, très courte durée",355.4,304.2,380.0,320.1,391.82,328.6
01M35Z,Symptômes et autres recours aux soins de la CMD 01,2313.2,1181.7,2474.0,1243.37,2617.34,1276.2
01M36E,Accidents vasculaires cérébraux non transitoires avec décès : séjours de moins de 2 jours,779.1,556.7,833.0,585.77,881.53,601.3
01M37E,Autres affections de la CMD 01 avec décès : séjours de moins de 2 jours,738.4,569.0,790.0,598.72,835.48,614.5
01M381,"Autres affections neurologiques concernant majoritairement la petite enfance, niveau 1",406.7,152.3,435.0,160.24,448.3,160.2
01M382,"Autres affections neurologiques concernant majoritairement la petite enfance, niveau 2",2374.2,1257.6,2540.0,1323.32,2686.39,1358.3
01M383,"Autres affections neurologiques concernant majoritairement la petite enfance, niveau 3",3224.2,2515.3,3449.0,2646.72,3648.12,2716.7
01M384,"Autres affections neurologiques concernant majoritairement la petite enfance, niveau 4",5316.8,2915.1,5687.0,3067.41,6015.85,3148.5
01M391,"Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 1",406.7,285.4,435.0,300.32,448.3,300.3
01M392,"Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 2",2129.5,1423.2,2278.0,1497.5,2409.51,1537.1
01M393,"Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 3",3494.2,2237.8,3738.0,2354.72,3953.58,2417.0
01M394,"Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 4",4176.4,2644.8,4467.0,2782.92,4725.49,2856.5
02C021,"Interventions sur la rétine, niveau 1",3239.6,1210.1,3465.0,1273.28,3571.16,1273.3
02C022,"Interventions sur la rétine, niveau 2",5226.6,3361.2,5591.0,3536.79,5761.56,3536.8
02C023,"Interventions sur la rétine, niveau 3",10881.6,6776.3,11640.0,7130.27,11995.31,7130.3
02C024,"Interventions sur la rétine, niveau 4",14852.5,8929.2,15888.0,9395.62,16372.64,9395.6
02C02J,"Interventions sur la rétine, en ambulatoire",2657.1,1210.1,2842.0,1273.28,2929.04,1273.3
02C031,"Interventions sur l'orbite, niveau 1",2361.7,877.4,2526.0,923.25,2603.42,923.3
02C032,"Interventions sur l'orbite, niveau 2",5144.6,2382.1,5503.0,2506.47,5671.17,2506.5
02C033,"Interventions sur l'orbite, niveau 3",9494.1,5267.4,10156.0,5542.55,10465.8,5542.6
02C034,"Interventions sur l'orbite, niveau 4",15834.9,6871.8,16938.0,7230.78,17455.58,7230.8
02C03J,"Interventions sur l'orbite, en ambulatoire",2361.7,877.4,2526.0,923.25,2603.42,923.3
02C051,"Interventions sur le cristallin avec ou sans vitrectomie, niveau 1",1368.0,794.1,1463.0,835.6,1507.98,835.6
02C052,"Interventions sur le cristallin avec ou sans vitrectomie, niveau 2",3941.7,2387.8,4216.0,2512.54,4345.17,2512.5
02C053,"Interventions sur le cristallin avec ou sans vitrectomie, niveau 3",8699.2,5726.7,9305.0,6025.86,9589.6,6025.9
02C054,"Interventions sur le cristallin avec ou sans vitrectomie, niveau 4",11430.6,7471.1,12227.0,7861.31,12600.52,7861.3
02C05J,"Interventions sur le cristallin avec ou sans vitrectomie, en ambulatoire",1368.0,794.1,1463.0,835.6,1507.98,835.6
02C061,"Interventions primaires sur l'iris, niveau 1",1314.5,657.3,1406.0,691.65,1449.07,691.7
02C062,"Interventions primaires sur l'iris, niveau 2",4794.2,2737.2,5128.0,2880.17,5284.9,2880.2
02C063,"Interventions primaires sur l'iris, niveau 3",10480.6,5003.9,11211.0,5265.22,11553.28,5265.2
02C064,"Interventions primaires sur l'iris, niveau 4",13672.9,8433.8,14626.0,8874.27,15072.31,8874.3
02C06J,"Interventions primaires sur l'iris, en ambulatoire",1314.5,657.3,1406.0,691.65,1449.07,691.7
02C071,"Autres interventions extraoculaires, âge inférieur à 18 ans, niveau 1",902.8,444.8,966.0,467.99,1021.5,480.4
