GHM;MCO;CAS;DA;GP;GA;Classif PKCS;Libracine;Recours;Regroupement GHM PH
01C14;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgies main, poignet;Ortho Traumato;Libérations de nerfs superficiels à l'exception du médian au canal carpien;non  ;Chir main, poignet hors carpien (trauma notamment)
01C15;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgies main, poignet;Ortho Traumato;Libérations du médian au canal carpien;non  ;Libérations du médian au canal carpien
01K02;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérisme thérapeutiques vasculaires du système nerveux;Cathétérismes vasculaires diagnostiques et interventionnels;Autres embolisations intracrâniennes et médullaires;oui  ;Cathétérisme thérapeutiques vasculaires du système nerveux
01K03;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérisme thérapeutiques vasculaires du système nerveux;Cathétérismes vasculaires diagnostiques et interventionnels;Autres actes thérapeutiques par voie vasculaire du système nerveux;oui  ;Cathétérisme thérapeutiques vasculaires du système nerveux
01K07;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérisme thérapeutiques vasculaires du système nerveux;Cathétérismes vasculaires diagnostiques et interventionnels;Embolisations intracrâniennes et médullaires pour hémorragie;oui  ;Cathétérisme thérapeutiques vasculaires du système nerveux
01M04;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Infections SNC;Neurologie;Méningites virales;non  ;Méningites virales
01M05;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Infections SNC;Neurologie;Infections du système nerveux à l'exception des méningites virales;oui  ;Infections système nerveux hors méningites virales (encéphalite, myélite…)
01M07;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Affections dégénératives du système nerveux;Neurologie;Maladies dégénératives du système nerveux, âge supérieur à 79 ans;non  ;Maladies dégénératives système nerveux > 79 ans (Alzeihmer…)
01M08;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Affections dégénératives du système nerveux;Neurologie;Maladies dégénératives du système nerveux, âge inférieur à 80 ans;oui  ;Maladie dégénérative système nerveux > 80 ans (parkinson, myasthenie…)
01M09;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Affections nerfs crâniens / moëlle;Neurologie;Affections et lésions du rachis et de la moelle;oui  ;Affection, lésions du rachis et de la moelle (paraplégie, tétraplégie)
01M10;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;AVC;Neurologie;Autres affections cérébrovasculaires;non  ;AVC non transitoires
01M11;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Affections nerfs crâniens / moëlle;Neurologie;Affections des nerfs crâniens et rachidiens;non  ;Affections des nerfs crâniens et rachidiens (paralysie faciale, radiculopathie, polynevrite)
01M12;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Autres affections du système nerveux;Neurologie;Autres affections du système nerveux;oui  ;Autre affection sys. nerveux (MAV, monoplégie)
01M13;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Comas non traumatiques;Neurologie;Troubles de la conscience et comas d'origine non traumatique;non  ;Comas non traumatiques
01M15;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;AVC;Neurologie;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans;non  ;AIT et occlusions des artères précérébrales
01M16;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;AVC;Neurologie;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans;non  ;AIT et occlusions des artères précérébrales
01M17;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Affections dégénératives du système nerveux;Neurologie;Sclérose en plaques et ataxie cérébelleuse;non  ;Sclérose en plaques et ataxie cérébelleuse
01M18;Chirurgie;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Commotions cérébrales, Traumatismes crâniens;Trauma crâniens;Neurologie;Lésions traumatiques intracrâniennes sévères;non  ;Trauma crâniens
01M19;Chirurgie;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Commotions cérébrales, Traumatismes crâniens;Trauma crâniens;Neurologie;Autres lésions traumatiques intracrâniennes, sauf commotions;non  ;Trauma crâniens
01M20;Chirurgie;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Commotions cérébrales, Traumatismes crâniens;Trauma crâniens;Neurologie;Commotions cérébrales;non  ;Trauma crâniens
01M21;Médecine;Médecine sans acte classant;Douleurs chroniques, Soins palliatifs;Douleur et soins palliatifs;Douleurs chroniques;Douleurs chroniques, Soins palliatifs;Douleurs chroniques rebelles;non  ;Douleurs chroniques rebelles
01M22;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Migraines et céphalées;Neurologie;Migraines et céphalées;non  ;Migraines et céphalées
01M23;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Convulsions, épilepsie;Neurologie;Convulsions hyperthermiques;non  ;Convulsions hyperthermiques
01M24;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Convulsions, épilepsie;Neurologie;Epilepsie, âge inférieur à 18 ans;non  ;Convulsions, épilepsie <18 ans
01M25;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Convulsions, épilepsie;Neurologie;Epilepsie, âge supérieur à 17 ans;non  ;Epilpesie > 17 ans
01M26;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Prise en charge médicale des tumeurs  système nerveux;Neurologie;Tumeurs malignes du système nerveux;non  ;Prise en charge médicale des tumeurs  système nerveux
01M27;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Prise en charge médicale des tumeurs  système nerveux;Neurologie;Autres tumeurs du système nerveux;oui  ;Prise en charge médicale des tumeurs  système nerveux
01M28;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Autres affections du système nerveux;Neurologie;Hydrocéphalies;non  ;Hydrocéphalies
01M29;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Autres affections du système nerveux;Neurologie;Anévrysmes cérébraux;oui  ;Anévrysmes cérébraux
01M30;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;AVC;Neurologie;Accidents vasculaires intracérébraux non transitoires;non  ;AVC non transitoires
01M31;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;AVC;Neurologie;Autres accidents vasculaires cérébraux non transitoires;non  ;AVC non transitoires
01M33;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Autres affections du système nerveux;Neurologie;Troubles du sommeil;non  ;Troubles du sommeil
01M38;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Autres affections du système nerveux;Neurologie;Autres affections neurologiques concernant majoritairement la petite enfance;non  ;Autres affections neurologiques concernant majoritairement la petite enfance
01M39;Médecine;Médecine sans acte classant;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Neurologie médicale;Autres affections du système nerveux;Neurologie;Troubles de la régulation thermique du nouveau-né et du nourrisson;non  ;Autre affection sys. nerveux (Chute, anomalie démarche, paresthésie, dystonie…)
02C02;Chirurgie;Chirurgie;Ophtalmologie;Chirurgie Ophtalmologique et greffe de cornée;Chirurgies ophtalmo lourdes;Ophtalmologie;Interventions sur la rétine;non  ;Chir rétine (DR, dégénérescence macula, hémorragie vitré
02C03;Chirurgie;Chirurgie;Ophtalmologie;Chirurgie Ophtalmologique et greffe de cornée;Chirurgies ophtalmo lourdes;Ophtalmologie;Interventions sur l'orbite;non  ;Interventions sur l'orbite (plaie globe, fracture…)
02C05;Chirurgie;Chirurgie;Ophtalmologie;Chirurgie Ophtalmologique et greffe de cornée;Cataractes;Ophtalmologie;Interventions sur le cristallin avec ou sans vitrectomie;non  ;Cataractes
02C06;Chirurgie;Chirurgie;Ophtalmologie;Chirurgie Ophtalmologique et greffe de cornée;Autres chirurgies ophtalmo;Ophtalmologie;Interventions primaires sur l'iris;non  ;Interventions primaires sur l'iris
02C07;Chirurgie;Chirurgie;Ophtalmologie;Chirurgie Ophtalmologique et greffe de cornée;Autres chirurgies ophtalmo;Ophtalmologie;Autres interventions extraoculaires, âge inférieur à 18 ans;non  ;Autres interventions extraoculaires, < 18 ans (Plaie, ptosis
02C08;Chirurgie;Chirurgie;Ophtalmologie;Chirurgie Ophtalmologique et greffe de cornée;Autres chirurgies ophtalmo;Ophtalmologie;Autres interventions extraoculaires, âge supérieur à 17 ans;non  ;Autre chir extraoculaire, > 17 ans (DCR, sclérectomie…)
02C09;Chirurgie;Chirurgie;Ophtalmologie;Chirurgie Ophtalmologique et greffe de cornée;Allogreffes de cornées;Ophtalmologie;Allogreffes de cornée;oui  ;Allogreffes de cornées
02C10;Chirurgie;Chirurgie;Ophtalmologie;Chirurgie Ophtalmologique et greffe de cornée;Chirurgies ophtalmo lourdes;Ophtalmologie;Autres interventions intraoculaires pour affections sévères;oui  ;Autre Chir affection sévère intraoculaire (endophtalmie, plaie pénétrante…)
02C11;Chirurgie;Chirurgie;Ophtalmologie;Chirurgie Ophtalmologique et greffe de cornée;Chirurgies ophtalmo lourdes;Ophtalmologie;Autres interventions intraoculaires en dehors des affections sévères;non  ;Autre chir intraoculaire hors affection sévère (Glaucome+++)
02C12;Chirurgie;Chirurgie;Ophtalmologie;Chirurgie Ophtalmologique et greffe de cornée;Cataractes;Ophtalmologie;Interventions sur le cristallin avec trabéculectomie;non  ;Cataractes
02C13;Chirurgie;Chirurgie;Ophtalmologie;Chirurgie Ophtalmologique et greffe de cornée;Autres chirurgies ophtalmo;Ophtalmologie;Interventions sur les muscles oculomoteurs, âge inférieur à 18 ans;non  ;Interventions sur les muscles oculomoteurs, < 18 ans
02M02;Médecine;Médecine sans acte classant;Ophtalmologie;Ophtalmologie;Affections oeil;Ophtalmologie;Hyphéma;non  ;Hyphéma
02M03;Médecine;Médecine sans acte classant;Ophtalmologie;Ophtalmologie;Infections oeil;Ophtalmologie;Infections oculaires aiguës sévères;oui  ;Infections oeil
02M04;Médecine;Médecine sans acte classant;Ophtalmologie;Ophtalmologie;Affections oeil;Ophtalmologie;Affections oculaires d'origine neurologique;non  ;Affections oculaires origine neurologique (Diplopie, névrite, occlusion ACR)
02M05;Médecine;Médecine sans acte classant;Ophtalmologie;Ophtalmologie;Affections oeil;Ophtalmologie;Autres affections oculaires, âge inférieur à 18 ans;non  ;Affections œil <18 ans
02M07;Médecine;Médecine sans acte classant;Ophtalmologie;Ophtalmologie;Affections oeil;Ophtalmologie;Autres affections oculaires d'origine diabétique, âge supérieur à 17 ans;non  ;Autres affections oculaires Origine diabétique  > 17 ans
02M08;Médecine;Médecine sans acte classant;Ophtalmologie;Ophtalmologie;Affections oeil;Ophtalmologie;Autres affections oculaires d'origine non diabétique, âge supérieur à 17 ans;non  ;Autres affections oculaires origine non diabétique > 17 ans (plaie, fracture)
03C05;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Autres chirurgies ORL;ORL Stomato sf bouche et dent;Réparations de fissures labiale et palatine;oui  ;Réparations de fissures labiale et palatine
03C06;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Autres chirurgies ORL;ORL Stomato sf bouche et dent;Interventions sur les sinus et l'apophyse mastoïde, âge inférieur à 18 ans;non  ;Chir sinus, apophyse mastoïde, < 18 ans
03C07;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Autres chirurgies ORL;ORL Stomato sf bouche et dent;Interventions sur les sinus et l'apophyse mastoïde, âge supérieur à 17 ans;non  ;Interventions sur les sinus et l'apophyse mastoïde,> 17 ans
03C09;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Autres chirurgies ORL;ORL Stomato sf bouche et dent;Rhinoplasties;non  ;Rhinoplasties
03C10;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Amygdalectomies, VG, drains transT;ORL Stomato sf bouche et dent;Amygdalectomies et/ou adénoïdectomies isolées, âge inférieur à 18 ans;non  ;Amygdalectomies, VG, drains transT <18 ans
03C11;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Amygdalectomies, VG, drains transT;ORL Stomato sf bouche et dent;Amygdalectomies et/ou adénoïdectomies isolées, âge supérieur à 17 ans;non  ;Amygdalectomies, VG, drains transT > 17 ans
03C12;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Amygdalectomies, VG, drains transT;ORL Stomato sf bouche et dent;Interventions sur les amygdales et les végétations adénoïdes autres que les amygdalectomies et/ou les adénoïdectomies isolées, âge inférieur à 18 ans;non  ;Amygdalectomies, VG, drains transT <18 ans
03C13;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Amygdalectomies, VG, drains transT;ORL Stomato sf bouche et dent;Interventions sur les amygdales et les végétations adénoïdes autres que les amygdalectomies et/ou les adénoïdectomies isolées, âge supérieur à 17 ans;non  ;Amygdalectomies, VG, drains transT > 17 ans
03C14;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Amygdalectomies, VG, drains transT;ORL Stomato sf bouche et dent;Drains transtympaniques, âge inférieur à 18 ans;non  ;Amygdalectomies, VG, drains transT <18 ans
03C15;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Amygdalectomies, VG, drains transT;ORL Stomato sf bouche et dent;Drains transtympaniques, âge supérieur à 17 ans;non  ;Amygdalectomies, VG, drains transT > 17 ans
03C16;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Autres chirurgies ORL;ORL Stomato sf bouche et dent;Autres interventions chirurgicales portant sur les oreilles, le nez, la gorge ou le cou;non  ;Autres chir oreilles, nez, gorge cou (Phlegmon, fracture maxillaire…)
03C17;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Chirurgies de la bouche et des dents;bouche et dents;Interventions sur la bouche;non  ;Interventions sur la bouche (Kyste, ankyloglossie…)
03C18;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Chirurgie de l'oreille;ORL Stomato sf bouche et dent;Pose d'implants cochléaires;oui  ;Pose d'implants cochléaires
03C19;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Chirurgies ORL majeures;ORL Stomato sf bouche et dent;Ostéotomies de la face;non  ;Ostéotomies de la face
03C20;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Chirurgie de l'oreille;ORL Stomato sf bouche et dent;Interventions de reconstruction de l'oreille moyenne;non  ;Reconstruction oreille moyenne (Myringoplastie, Platinotomie, Cholestéatome…)
03C21;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Chirurgie de l'oreille;ORL Stomato sf bouche et dent;Interventions pour oreilles décollées;non  ;Interventions pour oreilles décollées
03C24;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Autres chirurgies ORL;ORL Stomato sf bouche et dent;Interventions sur les glandes salivaires;non  ;Interventions sur les glandes salivaires
03C25;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Chirurgies ORL majeures;ORL Stomato sf bouche et dent;Interventions majeures sur la tête et le cou;oui  ;Chir majeure tête et cou (Tumeur Oro-Pharynx)
03C26;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Chirurgies ORL majeures;ORL Stomato sf bouche et dent;Autres interventions sur la tête et le cou;non  ;Autres interventions sur la tête et le cou
03C29;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Autres chirurgies ORL;ORL Stomato sf bouche et dent;Autres interventions sur l'oreille, le nez ou la gorge pour tumeurs malignes;non  ;Autre Chir oreille, nez, gorge pour tumeur maligne
03C30;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Chirurgie de l'oreille;ORL Stomato sf bouche et dent;Interventions sur l'oreille externe;non  ;Interventions sur l'oreille externe
03K02;Chirurgie;Acte peu invasif;ORL, Stomatologie;ORL Stomato avec Acte classant non opératoire et endoscopies;actes ORL et stomato divers;bouche et dents;Affections de la bouche et des dents avec certaines extractions, réparations et prothèses dentaires;non  ;Aff bouche, dent avec extraction, réparation, prothèse dentaire(dent incluse…)
03M02;Chirurgie;Médecine sans acte classant;ORL, Stomatologie;ORL, Stomato;Pathologies ORL et Stomato autres;ORL Stomato sf bouche et dent;Traumatismes et déformations du nez;non  ;Traumatismes et déformations du nez
03M03;Médecine;Médecine sans acte classant;ORL, Stomatologie;ORL, Stomato;Infections ORL;ORL Stomato sf bouche et dent;Otites moyennes et autres infections des voies aériennes supérieures, âge inférieur à 18 ans;non  ;Otites moyennes et autre infection des VAS, < 18 ans
03M04;Médecine;Médecine sans acte classant;ORL, Stomatologie;ORL, Stomato;Infections ORL;ORL Stomato sf bouche et dent;Otites moyennes et autres infections des voies aériennes supérieures, âge supérieur à 17 ans;non  ;Otites moyennes et autre infection des VAS, > 17 ans
03M05;Médecine;Médecine sans acte classant;ORL, Stomatologie;ORL, Stomato;Pathologies ORL et Stomato autres;ORL Stomato sf bouche et dent;Troubles de l'équilibre;non  ;Troubles de l'équilibre
03M06;Chirurgie;Médecine sans acte classant;ORL, Stomatologie;ORL, Stomato;Pathologies ORL et Stomato autres;ORL Stomato sf bouche et dent;Epistaxis;non  ;Epistaxis
03M07;Médecine;Médecine sans acte classant;ORL, Stomatologie;ORL, Stomato;Prise en charge médicale des tumeurs malignes ORL, Stomato;ORL Stomato sf bouche et dent;Tumeurs malignes des oreilles, du nez, de la gorge ou de la bouche;non  ;Tumeur maligne oreille, du nez, gorge ou bouche (Med)
03M08;Médecine;Médecine sans acte classant;ORL, Stomatologie;ORL, Stomato;Pathologies ORL et Stomato autres;ORL Stomato sf bouche et dent;Autres diagnostics portant sur les oreilles, le nez, la gorge ou la bouche, âge inférieur à 18 ans;non  ;Diagnostic oreille nez gorge bouche <18 ans
03M09;Médecine;Médecine sans acte classant;ORL, Stomatologie;ORL, Stomato;Pathologies ORL et Stomato autres;ORL Stomato sf bouche et dent;Autres diagnostics portant sur les oreilles, le nez, la gorge ou la bouche, âge supérieur à 17 ans;non  ;Diagnostic oreille nez gorge bouche > 17 ans
03M10;Médecine;Médecine sans acte classant;ORL, Stomatologie;ORL, Stomato;Affections Cavité buccale et dents;bouche et dents;Affections de la bouche et des dents sans certaines extractions, réparations ou prothèses dentaires, âge inférieur à 18 ans;non  ;Aff. bouche, dent sans extraction, réparation ou prothèse < 18 ans (Carie, ankyloglossie…)
03M11;Médecine;Médecine sans acte classant;ORL, Stomatologie;ORL, Stomato;Affections Cavité buccale et dents;bouche et dents;Affections de la bouche et des dents sans certaines extractions, réparations ou prothèses dentaires, âge supérieur à 17 ans;non  ;Affection bouche, dent sans extraction, réparation ou prothèse > 17 ans (caries…)
03M12;Médecine;Médecine sans acte classant;ORL, Stomatologie;ORL, Stomato;Infections ORL;ORL Stomato sf bouche et dent;Infections aigües sévères des voies aériennes supérieures, âge inférieur à 18 ans;non  ;Infection aigüe sévère, voie aérienne sup, < 18 ans
03M13;Médecine;Médecine sans acte classant;ORL, Stomatologie;ORL, Stomato;Infections ORL;ORL Stomato sf bouche et dent;Infections aigües sévères des voies aériennes supérieures, âge supérieur à 17 ans;non  ;Infection aigüe sévère, voie aérienne sup, > 17 ans
04C02;Chirurgie;Chirurgie;Pneumologie;Chir. majeure sur le thorax, l'app. respiratoire, interventions sous thoracoscopie;Chirurgies thoraciques majeures;Chir thoracique et vasculaire;Interventions majeures sur le thorax;oui  ;Chir majeure thorax (Tumeur poumon, pyothroax…)
04C03;Chirurgie;Chirurgie;Pneumologie;Chir. majeure sur le thorax, l'app. respiratoire, interventions sous thoracoscopie;Autres chirurgies thoraciques;Chir thoracique et vasculaire;Autres interventions chirurgicales sur le système respiratoire;non  ;Autres interventions chirurgicales sur le système respiratoire
04C04;Chirurgie;Chirurgie;Pneumologie;Chir. majeure sur le thorax, l'app. respiratoire, interventions sous thoracoscopie;Chirurgies thoraciques majeures;Chir thoracique et vasculaire;Interventions sous thoracoscopie;oui  ;Intervention sous thoracoscopie (talcage, évacuation, explo, abrasion…)
04M02;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Bronchites, bronchiolites et asthme;Pneumologie;Bronchites et asthme, âge inférieur à 18 ans;non  ;Bronchites, bronchiolites et asthme < 18 ans
04M03;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Bronchites, bronchiolites et asthme;Pneumologie;Bronchites et asthme, âge supérieur à 17 ans;non  ;Bronchites et asthme > 17 ans
04M04;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Infections respiratoires;Pneumologie;Pneumonies et pleurésies banales, âge inférieur à 18 ans;non  ;Pneumonies et pleurésies banales < 18 ans
04M05;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Infections respiratoires;Pneumologie;Pneumonies et pleurésies banales, âge supérieur à 17 ans;non  ;Pneumonies et pleurésies banales > 17 ans
04M06;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Infections respiratoires;Pneumologie;Infections et inflammations respiratoires, âge inférieur à 18 ans;oui  ;Infections et inflammations respiratoires < 18 ans
04M07;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Infections respiratoires;Pneumologie;Infections et inflammations respiratoires, âge supérieur à 17 ans;non  ;Infection, inflammation respi. > 17 ans (Vomissement, fistule, pseudomonas…)
04M08;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Bronchites, bronchiolites et asthme;Pneumologie;Bronchopneumopathies chroniques;non  ;Bronchopneumopathies chroniques
04M09;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Prise en charge médicale des tumeurs de l'appareil respiratoire;Pneumologie;Tumeurs de l'appareil respiratoire;non  ;Tumeurs de l'appareil respiratoire
04M10;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Embolies pulmonaires et détresses respiratoires;Pneumologie;Embolies pulmonaires;non  ;Embolies pulmonaires
04M11;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Affections respiratoires, autres;Pneumologie;Signes et symptômes respiratoires;non  ;Signes et symptômes respiratoires (Dyspnée, hémoptyise, toux…)
04M12;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Affections respiratoires, autres;Pneumologie;Pneumothorax;non  ;Pneumothorax
04M13;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Embolies pulmonaires et détresses respiratoires;Pneumologie;Oedème pulmonaire et détresse respiratoire;non  ;Oedème pulmonaire et détresse respiratoire
04M14;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Affections respiratoires, autres;Pneumologie;Maladies pulmonaires interstitielles;oui  ;Maladies pulmonaires interstitielles
04M15;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Affections respiratoires, autres;Pneumologie;Autres diagnostics portant sur le système respiratoire;non  ;Autres diagnostics portant sur le système respiratoire
04M16;Chirurgie;Médecine sans acte classant;Pneumologie;Pneumologie;Bronchites, bronchiolites et asthme;Pneumologie;Traumatismes thoraciques;non  ;Traumatismes thoraciques
