GHM;LIBELLE;TARIF PUBLIC;TARIF PRIVE
01C091;Pose d'un stimulateur cérébral, niveau 1;7 366,20 €;5 856,40 €
01C092;Pose d'un stimulateur cérébral, niveau 2;12 508,30 €;9 544,10 €
01C093;Pose d'un stimulateur cérébral, niveau 3;19 237,40 €;15 407,90 €
01C094;Pose d'un stimulateur cérébral, niveau 4;24 457,50 €;23 888,30 €
01C101;Pose d'un stimulateur médullaire, niveau 1;2 104,90 €;899,30 €
01C102;Pose d'un stimulateur médullaire, niveau 2;4 468,10 €;2 281,00 €
01C103;Pose d'un stimulateur médullaire, niveau 3;9 146,10 €;4 393,90 €
01C104;Pose d'un stimulateur médullaire, niveau 4;11 627,90 €;6 845,10 €
01C10J;Pose d'un stimulateur médullaire, en ambulatoire;2 104,90 €;899,30 €
01C111;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 1;7 498,10 €;2 317,80 €
01C112;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 2;10 225,50 €;3 401,90 €
01C113;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 3;12 574,80 €;5 274,30 €
01C114;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 4;14 709,60 €;7 259,20 €
01C121;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1;5 261,90 €;9 943,20 €
01C121;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1;12 421,20 €;2 654,10 €
01C122;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2;8 464,30 €;11 992,90 €
01C122;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2;15 623,50 €;4 703,80 €
01C123;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3;9 727,00 €;14 953,30 €
01C123;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3;16 886,20 €;7 664,30 €
01C124;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4;13 530,00 €;19 171,70 €
01C124;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4;20 689,20 €;11 882,70 €
01C141;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 1;1 377,20 €;637,90 €
01C142;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 2;3 221,60 €;1 736,20 €
01C143;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 3;4 026,20 €;2 710,20 €
01C144;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 4;4 745,50 €;4 688,70 €
01C14J;Libérations de nerfs superficiels à l'exception du médian au canal carpien, en ambulatoire;1 377,20 €;637,90 €
01C151;Libérations du médian au canal carpien, niveau 1;1 024,40 €;432,60 €
01C152;Libérations du médian au canal carpien, niveau 2;2 761,80 €;1 617,20 €
01C153;Libérations du médian au canal carpien, niveau 3;3 737,80 €;2 431,70 €
01C154;Libérations du médian au canal carpien, niveau 4;8 027,90 €;4 312,60 €
01C15J;Libérations du médian au canal carpien, en ambulatoire;1 024,40 €;432,60 €
01K021;Autres embolisations intracrâniennes et médullaires, niveau 1;7 727,30 €;2 133,50 €
01K022;Autres embolisations intracrâniennes et médullaires, niveau 2;8 803,00 €;4 507,90 €
01K023;Autres embolisations intracrâniennes et médullaires, niveau 3;10 812,80 €;8 127,90 €
01K024;Autres embolisations intracrâniennes et médullaires, niveau 4;17 263,90 €;9 370,00 €
01K031;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 1;4 520,10 €;1 119,10 €
01K032;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 2;8 535,70 €;3 523,60 €
01K033;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 3;11 299,90 €;5 313,40 €
01K034;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 4;17 976,30 €;13 133,20 €
01K04J;Injections de toxine botulique, en ambulatoire;399,20 €;333,00 €
01K05J;Séjours pour douleurs chroniques irréductibles comprenant un bloc ou une infiltration, en ambulatoire;275,30 €;453,20 €
01K06J;Affections du système nerveux sans acte opératoire avec anesthésie, en ambulatoire;973,00 €;598,00 €
01K071;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 1;9 906,70 €;2 016,00 €
01K072;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 2;10 346,10 €;3 045,20 €
01K073;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 3;16 023,00 €;4 722,70 €
01K074;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 4;25 187,60 €;5 444,40 €
01M041;Méningites virales, niveau 1;1 800,20 €;680,60 €
01M042;Méningites virales, niveau 2;3 548,50 €;2 371,50 €
01M043;Méningites virales, niveau 3;6 658,30 €;3 912,70 €
01M044;Méningites virales, niveau 4;10 786,70 €;5 026,10 €
01M04T;Méningites virales, très courte durée;406,70 €;203,50 €
01M04T;Méningites virales, très courte durée;710,70 €;122,50 €
01M051;Infections du système nerveux à l'exception des méningites virales, niveau 1;2 772,90 €;1 053,10 €
01M052;Infections du système nerveux à l'exception des méningites virales, niveau 2;5 838,10 €;2 199,80 €
01M053;Infections du système nerveux à l'exception des méningites virales, niveau 3;8 375,70 €;3 487,40 €
01M054;Infections du système nerveux à l'exception des méningites virales, niveau 4;13 981,90 €;6 274,30 €
01M05T;Infections du système nerveux à l'exception des méningites virales, très courte durée;885,60 €;229,70 €
01M05T;Infections du système nerveux à l'exception des méningites virales, très courte durée;469,90 €;122,50 €
01M071;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 1;1 593,10 €;1 179,00 €
01M072;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 2;4 230,90 €;2 154,60 €
01M073;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 3;5 375,50 €;2 428,00 €
01M074;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 4;7 158,70 €;4 080,40 €
01M07T;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, très courte durée;355,40 €;120,60 €
01M07T;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, très courte durée;688,90 €;120,60 €
01M081;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 1;1 545,60 €;880,60 €
01M082;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 2;4 110,00 €;2 225,90 €
01M083;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 3;6 221,70 €;2 763,20 €
01M084;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 4;9 932,00 €;4 862,70 €
01M08T;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, très courte durée;355,40 €;122,50 €
01M08T;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, très courte durée;630,80 €;198,70 €
01M091;Affections et lésions du rachis et de la moelle, niveau 1;1 674,90 €;684,20 €
01M092;Affections et lésions du rachis et de la moelle, niveau 2;4 930,00 €;2 175,70 €
01M093;Affections et lésions du rachis et de la moelle, niveau 3;7 929,30 €;3 636,70 €
01M094;Affections et lésions du rachis et de la moelle, niveau 4;12 628,10 €;6 785,30 €
01M09T;Affections et lésions du rachis et de la moelle, très courte durée;598,60 €;122,50 €
01M09T;Affections et lésions du rachis et de la moelle, très courte durée;304,20 €;171,60 €
01M101;Autres affections cérébrovasculaires, niveau 1;1 858,00 €;988,00 €
01M102;Autres affections cérébrovasculaires, niveau 2;4 150,80 €;2 020,70 €
01M103;Autres affections cérébrovasculaires, niveau 3;6 966,80 €;2 559,70 €
01M104;Autres affections cérébrovasculaires, niveau 4;12 339,70 €;4 388,20 €
01M10T;Autres affections cérébrovasculaires, très courte durée;406,70 €;237,40 €
01M10T;Autres affections cérébrovasculaires, très courte durée;896,60 €;122,50 €
01M111;Affections des nerfs crâniens et rachidiens, niveau 1;2 166,20 €;986,50 €
01M112;Affections des nerfs crâniens et rachidiens, niveau 2;3 484,00 €;1 654,20 €
01M113;Affections des nerfs crâniens et rachidiens, niveau 3;5 716,50 €;2 175,50 €
01M114;Affections des nerfs crâniens et rachidiens, niveau 4;9 592,00 €;3 739,00 €
01M11T;Affections des nerfs crâniens et rachidiens, très courte durée;685,80 €;201,30 €
01M11T;Affections des nerfs crâniens et rachidiens, très courte durée;355,40 €;491,60 €
01M121;Autres affections du système nerveux, niveau 1;1 924,40 €;842,70 €
01M122;Autres affections du système nerveux, niveau 2;3 737,70 €;1 677,50 €
01M123;Autres affections du système nerveux, niveau 3;6 249,90 €;2 359,70 €
01M124;Autres affections du système nerveux, niveau 4;8 807,10 €;4 028,10 €
01M12T;Autres affections du système nerveux, très courte durée;406,70 €;250,30 €
01M12T;Autres affections du système nerveux, très courte durée;799,10 €;122,50 €
01M131;Troubles de la conscience et comas d'origine non traumatique, niveau 1;355,40 €;394,40 €
01M131;Troubles de la conscience et comas d'origine non traumatique, niveau 1;971,10 €;152,30 €
01M132;Troubles de la conscience et comas d'origine non traumatique, niveau 2;3 178,60 €;1 108,60 €
01M133;Troubles de la conscience et comas d'origine non traumatique, niveau 3;5 275,20 €;1 789,80 €
01M134;Troubles de la conscience et comas d'origine non traumatique, niveau 4;9 994,20 €;3 609,70 €
01M151;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 1;2 482,80 €;1 296,30 €
01M152;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 2;3 204,70 €;1 628,20 €
01M153;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 3;4 533,40 €;2 191,90 €
01M154;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 4;7 640,00 €;3 883,90 €
01M15T;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, très courte durée;777,20 €;662,10 €
01M15T;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, très courte durée;355,40 €;238,50 €
01M161;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 1;2 323,40 €;1 163,50 €
01M162;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 2;2 858,10 €;1 578,70 €
01M163;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 3;4 929,80 €;2 623,20 €
01M164;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 4;9 147,60 €;3 919,00 €
01M16T;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, très courte durée;864,10 €;765,20 €
01M16T;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, très courte durée;355,40 €;285,40 €
01M171;Sclérose en plaques et ataxie cérébelleuse, niveau 1;1 304,50 €;623,50 €
01M172;Sclérose en plaques et ataxie cérébelleuse, niveau 2;3 317,30 €;1 285,80 €
01M173;Sclérose en plaques et ataxie cérébelleuse, niveau 3;6 113,80 €;1 830,80 €
01M174;Sclérose en plaques et ataxie cérébelleuse, niveau 4;10 407,60 €;3 138,20 €
01M17T;Sclérose en plaques et ataxie cérébelleuse, très courte durée;482,60 €;221,50 €
01M17T;Sclérose en plaques et ataxie cérébelleuse, très courte durée;251,90 €;122,50 €
01M181;Lésions traumatiques intracrâniennes sévères, niveau 1;2 153,10 €;643,80 €
01M182;Lésions traumatiques intracrâniennes sévères, niveau 2;4 348,50 €;1 917,10 €
01M183;Lésions traumatiques intracrâniennes sévères, niveau 3;7 168,50 €;3 101,70 €
01M184;Lésions traumatiques intracrâniennes sévères, niveau 4;12 345,30 €;6 306,10 €
01M18T;Lésions traumatiques intracrâniennes sévères, très courte durée;879,10 €;251,40 €
01M18T;Lésions traumatiques intracrâniennes sévères, très courte durée;750,10 €;122,50 €
01M191;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 1;469,90 €;122,50 €
01M191;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 1;1 261,30 €;250,20 €
01M192;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 2;3 647,90 €;1 651,10 €
01M193;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 3;5 433,10 €;2 359,20 €
01M194;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 4;9 051,70 €;3 797,80 €
01M201;Commotions cérébrales, niveau 1;355,40 €;285,40 €
01M201;Commotions cérébrales, niveau 1;719,90 €;439,20 €
01M202;Commotions cérébrales, niveau 2;2 564,80 €;542,20 €
01M203;Commotions cérébrales, niveau 3;3 819,30 €;784,30 €
01M204;Commotions cérébrales, niveau 4;5 904,30 €;1 382,80 €
01M211;Douleurs chroniques irréductibles, niveau 1;1 627,50 €;1 094,30 €
01M212;Douleurs chroniques irréductibles, niveau 2;3 126,00 €;1 980,60 €
01M213;Douleurs chroniques irréductibles, niveau 3;5 693,20 €;2 811,80 €
01M214;Douleurs chroniques irréductibles, niveau 4;9 229,50 €;4 230,40 €
01M21T;Douleurs chroniques irréductibles, très courte durée;439,40 €;432,70 €
01M21T;Douleurs chroniques irréductibles, très courte durée;251,90 €;238,50 €
01M221;Migraines et céphalées, niveau 1;874,10 €;472,40 €
01M222;Migraines et céphalées, niveau 2;2 354,40 €;1 094,10 €
01M223;Migraines et céphalées, niveau 3;3 270,20 €;1 512,40 €
01M224;Migraines et céphalées, niveau 4;5 606,90 €;2 666,00 €
01M22T;Migraines et céphalées, très courte durée;355,40 €;472,40 €
01M22T;Migraines et céphalées, très courte durée;874,10 €;201,30 €
01M231;Convulsions hyperthermiques, niveau 1;406,70 €;238,50 €
01M231;Convulsions hyperthermiques, niveau 1;966,30 €;525,30 €
01M232;Convulsions hyperthermiques, niveau 2;2 589,60 €;2 136,80 €
01M233;Convulsions hyperthermiques, niveau 3;3 968,60 €;2 357,80 €
01M234;Convulsions hyperthermiques, niveau 4;6 570,70 €;5 198,20 €
01M241;Epilepsie, âge inférieur à 18 ans, niveau 1;1 771,40 €;826,60 €
01M242;Epilepsie, âge inférieur à 18 ans, niveau 2;3 862,60 €;1 925,90 €
01M243;Epilepsie, âge inférieur à 18 ans, niveau 3;7 216,20 €;2 125,00 €
01M244;Epilepsie, âge inférieur à 18 ans, niveau 4;11 349,40 €;4 685,00 €
01M24T;Epilepsie, âge inférieur à 18 ans, très courte durée;355,40 €;152,30 €
01M24T;Epilepsie, âge inférieur à 18 ans, très courte durée;776,90 €;307,70 €
01M251;Epilepsie, âge supérieur à 17 ans, niveau 1;1 576,20 €;820,00 €
01M252;Epilepsie, âge supérieur à 17 ans, niveau 2;2 807,60 €;1 876,20 €
01M253;Epilepsie, âge supérieur à 17 ans, niveau 3;4 425,00 €;2 421,10 €
01M254;Epilepsie, âge supérieur à 17 ans, niveau 4;6 808,50 €;3 750,70 €
01M25T;Epilepsie, âge supérieur à 17 ans, très courte durée;675,60 €;201,30 €
01M25T;Epilepsie, âge supérieur à 17 ans, très courte durée;355,40 €;385,40 €
01M261;Tumeurs malignes du système nerveux, niveau 1;2 624,30 €;2 307,80 €
01M262;Tumeurs malignes du système nerveux, niveau 2;4 743,40 €;3 606,00 €
01M263;Tumeurs malignes du système nerveux, niveau 3;7 490,50 €;4 867,50 €
01M264;Tumeurs malignes du système nerveux, niveau 4;10 561,70 €;8 134,80 €
01M26T;Tumeurs malignes du système nerveux, très courte durée;355,40 €;152,30 €
01M26T;Tumeurs malignes du système nerveux, très courte durée;672,70 €;259,00 €
01M271;Autres tumeurs du système nerveux, niveau 1;2 012,60 €;1 103,40 €
01M272;Autres tumeurs du système nerveux, niveau 2;3 574,70 €;2 567,00 €
01M273;Autres tumeurs du système nerveux, niveau 3;5 427,30 €;3 526,20 €
01M274;Autres tumeurs du système nerveux, niveau 4;9 575,90 €;5 181,70 €
01M27T;Autres tumeurs du système nerveux, très courte durée;849,70 €;152,30 €
01M27T;Autres tumeurs du système nerveux, très courte durée;406,70 €;288,00 €
01M281;Hydrocéphalies, niveau 1;1 161,50 €;746,00 €
01M282;Hydrocéphalies, niveau 2;3 301,80 €;1 639,30 €
01M283;Hydrocéphalies, niveau 3;5 317,30 €;2 235,50 €
01M284;Hydrocéphalies, niveau 4;8 831,60 €;3 831,90 €
01M28T;Hydrocéphalies, très courte durée;355,40 €;152,30 €
01M28T;Hydrocéphalies, très courte durée;627,40 €;313,80 €
01M291;Anévrysmes cérébraux, niveau 1;750,10 €;819,20 €
01M291;Anévrysmes cérébraux, niveau 1;2 226,70 €;201,30 €
01M292;Anévrysmes cérébraux, niveau 2;6 217,60 €;2 343,30 €
01M293;Anévrysmes cérébraux, niveau 3;9 322,70 €;3 436,90 €
01M294;Anévrysmes cérébraux, niveau 4;15 435,30 €;7 577,30 €
01M301;Accidents vasculaires intracérébraux non transitoires, niveau 1;3 136,00 €;1 611,30 €
01M302;Accidents vasculaires intracérébraux non transitoires, niveau 2;4 862,40 €;2 461,60 €
01M303;Accidents vasculaires intracérébraux non transitoires, niveau 3;6 891,60 €;3 511,10 €
01M304;Accidents vasculaires intracérébraux non transitoires, niveau 4;9 793,40 €;5 847,10 €
01M30T;Transferts et autres séjours courts pour accidents vasculaires intracérébraux non transitoires;469,90 €;168,30 €
01M30T;Transferts et autres séjours courts pour accidents vasculaires intracérébraux non transitoires;832,50 €;343,30 €
01M311;Autres accidents vasculaires cérébraux non transitoires, niveau 1;3 139,80 €;1 571,40 €
01M312;Autres accidents vasculaires cérébraux non transitoires, niveau 2;4 789,10 €;3 028,20 €
01M313;Autres accidents vasculaires cérébraux non transitoires, niveau 3;7 353,60 €;4 358,80 €
01M314;Autres accidents vasculaires cérébraux non transitoires, niveau 4;9 632,30 €;7 430,50 €
01M31T;Transferts et autres séjours courts pour autres accidents vasculaires cérébraux non transitoires;836,20 €;311,70 €
01M31T;Transferts et autres séjours courts pour autres accidents vasculaires cérébraux non transitoires;469,90 €;168,30 €
01M32Z;Explorations et surveillance pour affections du système nerveux;819,70 €;285,40 €
01M32Z;Explorations et surveillance pour affections du système nerveux;304,20 €;1 064,60 €
01M331;Troubles du sommeil, niveau 1;756,60 €;414,30 €
01M331;Troubles du sommeil, niveau 1;304,20 €;168,30 €
01M332;Troubles du sommeil, niveau 2;2 065,80 €;1 442,10 €
01M333;Troubles du sommeil, niveau 3;2 893,70 €;2 108,30 €
01M334;Troubles du sommeil, niveau 4;5 140,20 €;4 648,20 €
01M34T;Anomalies de la démarche d'origine neurologique, très courte durée;680,20 €;305,50 €
01M34T;Anomalies de la démarche d'origine neurologique, très courte durée;355,40 €;152,30 €
01M34Z;Anomalies de la démarche d'origine neurologique;3 605,10 €;1 845,80 €
01M35T;Symptômes et autres recours aux soins de la CMD 01, très courte durée;355,40 €;304,20 €
01M35T;Symptômes et autres recours aux soins de la CMD 01, très courte durée;678,70 €;152,30 €
01M35Z;Symptômes et autres recours aux soins de la CMD 01;2 313,20 €;1 181,70 €
01M36E;Accidents vasculaires cérébraux non transitoires avec décès : séjours de moins de 2 jours;779,10 €;556,70 €
01M37E;Autres affections de la CMD 01 avec décès : séjours de moins de 2 jours;738,40 €;569,00 €
01M381;Autres affections neurologiques concernant majoritairement la petite enfance, niveau 1;406,70 €;152,30 €
01M381;Autres affections neurologiques concernant majoritairement la petite enfance, niveau 1;1 113,10 €;560,80 €
01M382;Autres affections neurologiques concernant majoritairement la petite enfance, niveau 2;2 374,20 €;1 257,60 €
01M383;Autres affections neurologiques concernant majoritairement la petite enfance, niveau 3;3 224,20 €;2 515,30 €
01M384;Autres affections neurologiques concernant majoritairement la petite enfance, niveau 4;5 316,80 €;2 915,10 €
01M391;Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 1;406,70 €;285,40 €
01M391;Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 1;1 042,20 €;814,60 €
01M392;Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 2;2 129,50 €;1 423,20 €
01M393;Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 3;3 494,20 €;2 237,80 €
01M394;Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 4;4 176,40 €;2 644,80 €
02C021;Interventions sur la rétine, niveau 1;3 239,60 €;1 210,10 €
02C021;Interventions sur la rétine, niveau 1;2 657,10 €;1 587,30 €
02C022;Interventions sur la rétine, niveau 2;5 226,60 €;3 361,20 €
02C022;Interventions sur la rétine, niveau 2;4 644,10 €;2 984,00 €
02C023;Interventions sur la rétine, niveau 3;10 881,60 €;6 776,30 €
02C023;Interventions sur la rétine, niveau 3;11 464,10 €;7 153,50 €
02C024;Interventions sur la rétine, niveau 4;14 852,50 €;8 929,20 €
02C024;Interventions sur la rétine, niveau 4;14 270,00 €;9 306,50 €
02C02J;Interventions sur la rétine, en ambulatoire;2 657,10 €;1 210,10 €
02C02J;Interventions sur la rétine, en ambulatoire;3 239,60 €;1 587,30 €
02C031;Interventions sur l'orbite, niveau 1;2 361,70 €;877,40 €
02C032;Interventions sur l'orbite, niveau 2;5 144,60 €;2 382,10 €
02C033;Interventions sur l'orbite, niveau 3;9 494,10 €;5 267,40 €
02C034;Interventions sur l'orbite, niveau 4;15 834,90 €;6 871,80 €
02C03J;Interventions sur l'orbite, en ambulatoire;2 361,70 €;877,40 €
02C051;Interventions sur le cristallin avec ou sans vitrectomie, niveau 1;1 368,00 €;794,10 €
02C052;Interventions sur le cristallin avec ou sans vitrectomie, niveau 2;3 941,70 €;2 387,80 €
02C053;Interventions sur le cristallin avec ou sans vitrectomie, niveau 3;8 699,20 €;5 726,70 €
02C054;Interventions sur le cristallin avec ou sans vitrectomie, niveau 4;11 430,60 €;7 471,10 €
02C05J;Interventions sur le cristallin avec ou sans vitrectomie, en ambulatoire;1 368,00 €;794,10 €
02C061;Interventions primaires sur l'iris, niveau 1;1 314,50 €;657,30 €
02C062;Interventions primaires sur l'iris, niveau 2;4 794,20 €;2 737,20 €
02C063;Interventions primaires sur l'iris, niveau 3;10 480,60 €;5 003,90 €
02C064;Interventions primaires sur l'iris, niveau 4;13 672,90 €;8 433,80 €
02C06J;Interventions primaires sur l'iris, en ambulatoire;1 314,50 €;657,30 €
02C071;Autres interventions extraoculaires, âge inférieur à 18 ans, niveau 1;902,80 €;444,80 €
02C072;Autres interventions extraoculaires, âge inférieur à 18 ans, niveau 2;3 915,50 €;2 271,30 €
02C073;Autres interventions extraoculaires, âge inférieur à 18 ans, niveau 3;8 664,50 €;5 026,10 €
02C074;Autres interventions extraoculaires, âge inférieur à 18 ans, niveau 4;11 303,60 €;6 557,10 €
02C07J;Autres interventions extraoculaires, âge inférieur à 18 ans, en ambulatoire;902,80 €;444,80 €
02C081;Autres interventions extraoculaires, âge supérieur à 17 ans, niveau 1;1 227,80 €;541,10 €
02C082;Autres interventions extraoculaires, âge supérieur à 17 ans, niveau 2;3 777,30 €;1 926,00 €
02C083;Autres interventions extraoculaires, âge supérieur à 17 ans, niveau 3;7 049,00 €;4 243,20 €
02C084;Autres interventions extraoculaires, âge supérieur à 17 ans, niveau 4;12 334,30 €;5 535,50 €
02C08J;Autres interventions extraoculaires, âge supérieur à 17 ans, en ambulatoire;1 227,80 €;541,10 €
02C091;Allogreffes de cornée, niveau 1;1 772,10 €;1 428,90 €
02C091;Allogreffes de cornée, niveau 1;2 797,10 €;2 483,80 €
02C092;Allogreffes de cornée, niveau 2;4 633,20 €;4 084,90 €
02C092;Allogreffes de cornée, niveau 2;3 608,30 €;5 139,80 €
02C093;Allogreffes de cornée, niveau 3;8 093,60 €;9 355,30 €
02C093;Allogreffes de cornée, niveau 3;7 068,60 €;8 300,30 €
02C094;Allogreffes de cornée, niveau 4;12 155,60 €;15 767,80 €
02C094;Allogreffes de cornée, niveau 4;13 180,50 €;14 712,90 €
02C09J;Allogreffes de cornée, en ambulatoire;2 797,10 €;2 483,80 €
02C09J;Allogreffes de cornée, en ambulatoire;1 772,10 €;1 428,90 €
02C101;Autres interventions intraoculaires pour affections sévères, niveau 1;2 247,00 €;743,90 €
02C102;Autres interventions intraoculaires pour affections sévères, niveau 2;4 942,90 €;2 178,20 €
02C103;Autres interventions intraoculaires pour affections sévères, niveau 3;8 948,50 €;3 113,40 €
02C104;Autres interventions intraoculaires pour affections sévères, niveau 4;18 291,60 €;5 863,10 €
02C10J;Autres interventions intraoculaires pour affections sévères, en ambulatoire;2 247,00 €;743,90 €
02C111;Autres interventions intraoculaires en dehors des affections sévères, niveau 1;1 175,50 €;593,10 €
02C112;Autres interventions intraoculaires en dehors des affections sévères, niveau 2;3 971,60 €;2 643,50 €
02C113;Autres interventions intraoculaires en dehors des affections sévères, niveau 3;11 070,00 €;5 849,80 €
02C114;Autres interventions intraoculaires en dehors des affections sévères, niveau 4;14 441,60 €;7 631,60 €
02C11J;Autres interventions intraoculaires en dehors des affections sévères, en ambulatoire;1 175,50 €;593,10 €
02C11J;Autres interventions intraoculaires en dehors des affections sévères, en ambulatoire;171,40 €;78,20 €
02C121;Interventions sur le cristallin avec trabéculectomie, niveau 1;2 057,10 €;1 089,20 €
