GHM;LIBELLE;TARIF PUBLIC;TARIF PRIVE
01M092;Affections et lésions du rachis et de la moelle, niveau 2;5 578,14;2 349,90 €
01M093;Affections et lésions du rachis et de la moelle, niveau 3;8 971,79;3 927,70 €
01M094;Affections et lésions du rachis et de la moelle, niveau 4;14 288,48;7 328,40 €
01M09T;Affections et lésions du rachis et de la moelle, très courte durée;677,32;128,90 €
01M09T;Affections et lésions du rachis et de la moelle, très courte durée;335,34;185,30 €
01M101;Autres affections cérébrovasculaires, niveau 1;2 102,28;1 067,10 €
01M102;Autres affections cérébrovasculaires, niveau 2;4 696,60;2 182,40 €
01M103;Autres affections cérébrovasculaires, niveau 3;7 882,84;2 764,60 €
01M104;Autres affections cérébrovasculaires, niveau 4;13 962,16;4 739,40 €
01M10T;Autres affections cérébrovasculaires, très courte durée;448,3;256,40 €
01M10T;Autres affections cérébrovasculaires, très courte durée;1 014,51;128,90 €
01M111;Affections des nerfs crâniens et rachidiens, niveau 1;2 451,00;1 065,40 €
01M112;Affections des nerfs crâniens et rachidiens, niveau 2;3 942,09;1 786,60 €
01M113;Affections des nerfs crâniens et rachidiens, niveau 3;6 468,12;2 349,60 €
01M114;Affections des nerfs crâniens et rachidiens, niveau 4;10 853,18;4 038,30 €
01M11T;Affections des nerfs crâniens et rachidiens, très courte durée;775,96;211,80 €
01M11T;Affections des nerfs crâniens et rachidiens, très courte durée;391,82;530,90 €
01M121;Autres affections du système nerveux, niveau 1;2 177,37;910,10 €
01M122;Autres affections du système nerveux, niveau 2;4 229,12;1 811,80 €
01M123;Autres affections du système nerveux, niveau 3;7 071,66;2 548,60 €
01M124;Autres affections du système nerveux, niveau 4;9 965,09;4 350,50 €
01M12T;Autres affections du système nerveux, très courte durée;448,3;270,30 €
01M12T;Autres affections du système nerveux, très courte durée;904,21;128,90 €
01M131;Troubles de la conscience et comas d'origine non traumatique, niveau 1;391,82;425,90 €
01M131;Troubles de la conscience et comas d'origine non traumatique, niveau 1;1 098,78;160,20 €
01M132;Troubles de la conscience et comas d'origine non traumatique, niveau 2;3 596,51;1 197,30 €
01M133;Troubles de la conscience et comas d'origine non traumatique, niveau 3;5 968,78;1 933,00 €
01M134;Troubles de la conscience et comas d'origine non traumatique, niveau 4;11 308,26;3 898,60 €
01M151;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 1;2 809,25;1 400,00 €
01M152;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 2;3 626,01;1 758,50 €
01M153;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 3;5 129,46;2 367,40 €
01M154;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 4;8 644,49;4 194,70 €
01M15T;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, très courte durée;879,37;715,10 €
01M15T;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, très courte durée;391,82;251,00 €
01M161;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 1;2 628,85;1 256,60 €
01M162;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 2;3 233,83;1 705,00 €
01M163;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 3;5 578,00;2 833,10 €
01M164;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 4;10 350,36;4 232,70 €
01M16T;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, très courte durée;977,76;826,40 €
01M16T;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, très courte durée;391,82;300,30 €
01M171;Sclérose en plaques et ataxie cérébelleuse, niveau 1;1 475,98;673,40 €
01M172;Sclérose en plaques et ataxie cérébelleuse, niveau 2;3 753,46;1 388,70 €
01M173;Sclérose en plaques et ataxie cérébelleuse, niveau 3;6 917,61;1 977,40 €
01M174;Sclérose en plaques et ataxie cérébelleuse, niveau 4;11 775,95;3 389,40 €
01M17T;Sclérose en plaques et ataxie cérébelleuse, très courte durée;546,06;239,20 €
01M17T;Sclérose en plaques et ataxie cérébelleuse, très courte durée;277,64;128,90 €
01M181;Lésions traumatiques intracrâniennes sévères, niveau 1;2 436,20;695,30 €
01M182;Lésions traumatiques intracrâniennes sévères, niveau 2;4 920,25;2 070,50 €
01M183;Lésions traumatiques intracrâniennes sévères, niveau 3;8 110,99;3 349,90 €
01M184;Lésions traumatiques intracrâniennes sévères, niveau 4;13 968,42;6 810,80 €
01M18T;Lésions traumatiques intracrâniennes sévères, très courte durée;994,64;271,50 €
01M18T;Lésions traumatiques intracrâniennes sévères, très courte durée;826,9;128,90 €
01M191;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 1;518,03;128,90 €
01M191;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 1;1 427,18;270,20 €
01M192;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 2;4 127,51;1 783,30 €
01M193;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 3;6 147,46;2 548,10 €
01M194;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 4;10 241,79;4 101,80 €
01M201;Commotions cérébrales, niveau 1;391,82;300,30 €
01M201;Commotions cérébrales, niveau 1;814,49;474,30 €
01M202;Commotions cérébrales, niveau 2;2 901,98;585,60 €
01M203;Commotions cérébrales, niveau 3;4 321,42;847,00 €
01M204;Commotions cérébrales, niveau 4;6 680,59;1 493,50 €
01M211;Douleurs chroniques irréductibles, niveau 1;1 841,48;1 181,90 €
01M212;Douleurs chroniques irréductibles, niveau 2;3 537,03;2 139,10 €
01M213;Douleurs chroniques irréductibles, niveau 3;6 441,78;3 036,80 €
01M214;Douleurs chroniques irréductibles, niveau 4;10 442,99;4 569,00 €
01M21T;Douleurs chroniques irréductibles, très courte durée;497,14;467,30 €
01M21T;Douleurs chroniques irréductibles, très courte durée;277,64;251,00 €
01M221;Migraines et céphalées, niveau 1;989,02;510,20 €
01M222;Migraines et céphalées, niveau 2;2 663,93;1 181,70 €
01M223;Migraines et céphalées, niveau 3;3 700,19;1 633,50 €
01M224;Migraines et céphalées, niveau 4;6 344,08;2 879,40 €
01M22T;Migraines et céphalées, très courte durée;391,82;510,20 €
01M22T;Migraines et céphalées, très courte durée;989,02;211,80 €
01M231;Convulsions hyperthermiques, niveau 1;448,3;251,00 €
01M231;Convulsions hyperthermiques, niveau 1;1 093,32;567,30 €
01M232;Convulsions hyperthermiques, niveau 2;2 930,04;2 307,80 €
01M233;Convulsions hyperthermiques, niveau 3;4 490,44;2 546,50 €
01M234;Convulsions hyperthermiques, niveau 4;7 434,67;5 614,20 €
01M241;Epilepsie, âge inférieur à 18 ans, niveau 1;2 004,30;892,80 €
01M242;Epilepsie, âge inférieur à 18 ans, niveau 2;4 370,49;2 080,00 €
01M243;Epilepsie, âge inférieur à 18 ans, niveau 3;8 164,95;2 295,10 €
01M244;Epilepsie, âge inférieur à 18 ans, niveau 4;12 841,62;5 060,00 €
01M24T;Epilepsie, âge inférieur à 18 ans, très courte durée;391,82;160,20 €
01M24T;Epilepsie, âge inférieur à 18 ans, très courte durée;879;332,30 €
01M251;Epilepsie, âge supérieur à 17 ans, niveau 1;1 783,43;885,60 €
01M252;Epilepsie, âge supérieur à 17 ans, niveau 2;3 176,73;2 026,30 €
01M253;Epilepsie, âge supérieur à 17 ans, niveau 3;5 006,80;2 614,90 €
01M254;Epilepsie, âge supérieur à 17 ans, niveau 4;7 703,63;4 050,90 €
01M25T;Epilepsie, âge supérieur à 17 ans, très courte durée;764,44;211,80 €
01M25T;Epilepsie, âge supérieur à 17 ans, très courte durée;391,82;416,30 €
01M261;Tumeurs malignes du système nerveux, niveau 1;2 969,38;2 492,50 €
01M262;Tumeurs malignes du système nerveux, niveau 2;5 367,08;3 894,70 €
01M263;Tumeurs malignes du système nerveux, niveau 3;8 475,30;5 257,00 €
01M264;Tumeurs malignes du système nerveux, niveau 4;11 950,35;8 785,90 €
01M26T;Tumeurs malignes du système nerveux, très courte durée;391,82;160,20 €
01M26T;Tumeurs malignes du système nerveux, très courte durée;761,18;279,70 €
01M271;Autres tumeurs du système nerveux, niveau 1;2 277,24;1 191,70 €
01M272;Autres tumeurs du système nerveux, niveau 2;4 044,64;2 772,40 €
01M273;Autres tumeurs du système nerveux, niveau 3;6 140,88;3 808,40 €
01M274;Autres tumeurs du système nerveux, niveau 4;10 834,89;5 596,50 €
01M27T;Autres tumeurs du système nerveux, très courte durée;961,47;160,20 €
01M27T;Autres tumeurs du système nerveux, très courte durée;448,3;311,10 €
01M281;Hydrocéphalies, niveau 1;1 314,25;805,80 €
01M282;Hydrocéphalies, niveau 2;3 735,95;1 770,60 €
01M283;Hydrocéphalies, niveau 3;6 016,45;2 414,40 €
01M284;Hydrocéphalies, niveau 4;9 992,83;4 138,60 €
01M28T;Hydrocéphalies, très courte durée;391,82;160,20 €
01M28T;Hydrocéphalies, très courte durée;709,9;338,90 €
01M291;Anévrysmes cérébraux, niveau 1;826,9;884,70 €
01M291;Anévrysmes cérébraux, niveau 1;2 519,49;211,80 €
01M292;Anévrysmes cérébraux, niveau 2;7 035,06;2 530,90 €
01M293;Anévrysmes cérébraux, niveau 3;10 548,50;3 712,00 €
01M294;Anévrysmes cérébraux, niveau 4;17 464,73;8 183,70 €
01M301;Accidents vasculaires intracérébraux non transitoires, niveau 1;3 548,37;1 740,20 €
01M302;Accidents vasculaires intracérébraux non transitoires, niveau 2;5 501,75;2 658,60 €
01M303;Accidents vasculaires intracérébraux non transitoires, niveau 3;7 797,74;3 792,10 €
01M304;Accidents vasculaires intracérébraux non transitoires, niveau 4;11 081,08;6 315,10 €
01M30T;Transferts et autres séjours courts pour accidents vasculaires intracérébraux non transitoires;518,03;177,10 €
01M30T;Transferts et autres séjours courts pour accidents vasculaires intracérébraux non transitoires;941,9;370,80 €
01M311;Autres accidents vasculaires cérébraux non transitoires, niveau 1;3 552,65;1 697,20 €
01M312;Autres accidents vasculaires cérébraux non transitoires, niveau 2;5 418,78;3 270,60 €
01M313;Autres accidents vasculaires cérébraux non transitoires, niveau 3;8 320,50;4 707,70 €
01M314;Autres accidents vasculaires cérébraux non transitoires, niveau 4;10 898,76;8 025,30 €
01M31T;Transferts et autres séjours courts pour autres accidents vasculaires cérébraux non transitoires;946,1;336,70 €
01M31T;Transferts et autres séjours courts pour autres accidents vasculaires cérébraux non transitoires;518,03;177,10 €
01M32Z;Explorations et surveillance pour affections du système nerveux;927,43;300,30 €
01M32Z;Explorations et surveillance pour affections du système nerveux;335,34;1 149,80 €
01M331;Troubles du sommeil, niveau 1;856,07;447,50 €
01M331;Troubles du sommeil, niveau 1;335,34;177,10 €
01M332;Troubles du sommeil, niveau 2;2 337,37;1 557,50 €
01M333;Troubles du sommeil, niveau 3;3 274,11;2 277,10 €
01M334;Troubles du sommeil, niveau 4;5 816,00;5 020,30 €
01M34T;Anomalies de la démarche d'origine neurologique, très courte durée;769,65;330,00 €
01M34T;Anomalies de la démarche d'origine neurologique, très courte durée;391,82;160,20 €
01M34Z;Anomalies de la démarche d'origine neurologique;4 079,05;1 993,60 €
01M35T;Symptômes et autres recours aux soins de la CMD 01, très courte durée;391,82;328,60 €
01M35T;Symptômes et autres recours aux soins de la CMD 01, très courte durée;767,95;160,20 €
01M35Z;Symptômes et autres recours aux soins de la CMD 01;2 617,34;1 276,20 €
01M36E;Accidents vasculaires cérébraux non transitoires avec décès : séjours de moins de 2 jours;881,53;601,30 €
01M37E;Autres affections de la CMD 01 avec décès : séjours de moins de 2 jours;835,48;614,50 €
01M381;Autres affections neurologiques concernant majoritairement la petite enfance, niveau 1;448,3;160,20 €
01M381;Autres affections neurologiques concernant majoritairement la petite enfance, niveau 1;1 259,46;605,60 €
01M382;Autres affections neurologiques concernant majoritairement la petite enfance, niveau 2;2 686,39;1 358,30 €
01M383;Autres affections neurologiques concernant majoritairement la petite enfance, niveau 3;3 648,12;2 716,70 €
01M384;Autres affections neurologiques concernant majoritairement la petite enfance, niveau 4;6 015,85;3 148,50 €
01M391;Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 1;448,3;300,30 €
01M391;Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 1;1 179,20;879,80 €
01M392;Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 2;2 409,51;1 537,10 €
01M393;Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 3;3 953,58;2 417,00 €
01M394;Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 4;4 725,49;2 856,50 €
02C021;Interventions sur la rétine, niveau 1;3 571,16;1 273,30 €
02C021;Interventions sur la rétine, niveau 1;2 929,04;1 670,20 €
02C022;Interventions sur la rétine, niveau 2;5 761,56;3 536,80 €
02C022;Interventions sur la rétine, niveau 2;5 119,44;3 139,80 €
02C023;Interventions sur la rétine, niveau 3;11 995,31;7 130,30 €
02C023;Interventions sur la rétine, niveau 3;12 637,41;7 527,20 €
02C024;Interventions sur la rétine, niveau 4;16 372,64;9 395,60 €
02C024;Interventions sur la rétine, niveau 4;15 730,54;9 792,60 €
02C02J;Interventions sur la rétine, en ambulatoire;2 929,04;1 273,30 €
02C02J;Interventions sur la rétine, en ambulatoire;3 571,16;1 670,20 €
02C031;Interventions sur l'orbite, niveau 1;2 603,42;923,30 €
02C032;Interventions sur l'orbite, niveau 2;5 671,17;2 506,50 €
02C033;Interventions sur l'orbite, niveau 3;10 465,80;5 542,60 €
02C034;Interventions sur l'orbite, niveau 4;17 455,58;7 230,80 €
02C03J;Interventions sur l'orbite, en ambulatoire;2 603,42;923,30 €
02C051;Interventions sur le cristallin avec ou sans vitrectomie, niveau 1;1 507,98;835,60 €
02C052;Interventions sur le cristallin avec ou sans vitrectomie, niveau 2;4 345,17;2 512,50 €
02C053;Interventions sur le cristallin avec ou sans vitrectomie, niveau 3;9 589,60;6 025,90 €
02C054;Interventions sur le cristallin avec ou sans vitrectomie, niveau 4;12 600,52;7 861,30 €
02C05J;Interventions sur le cristallin avec ou sans vitrectomie, en ambulatoire;1 507,98;835,60 €
02C061;Interventions primaires sur l'iris, niveau 1;1 449,07;691,70 €
02C062;Interventions primaires sur l'iris, niveau 2;5 284,90;2 880,20 €
02C063;Interventions primaires sur l'iris, niveau 3;11 553,28;5 265,20 €
02C064;Interventions primaires sur l'iris, niveau 4;15 072,31;8 874,30 €
02C06J;Interventions primaires sur l'iris, en ambulatoire;1 449,07;691,70 €
02C071;Autres interventions extraoculaires, âge inférieur à 18 ans, niveau 1;1 021,50;480,40 €
02C072;Autres interventions extraoculaires, âge inférieur à 18 ans, niveau 2;4 430,25;2 453,10 €
02C073;Autres interventions extraoculaires, âge inférieur à 18 ans, niveau 3;9 803,69;5 428,40 €
02C074;Autres interventions extraoculaires, âge inférieur à 18 ans, niveau 4;12 789,75;7 081,90 €
02C07J;Autres interventions extraoculaires, âge inférieur à 18 ans, en ambulatoire;1 021,50;480,40 €
02C081;Autres interventions extraoculaires, âge supérieur à 17 ans, niveau 1;1 353,42;569,40 €
02C082;Autres interventions extraoculaires, âge supérieur à 17 ans, niveau 2;4 163,86;2 026,60 €
02C083;Autres interventions extraoculaires, âge supérieur à 17 ans, niveau 3;7 770,49;4 464,80 €
02C084;Autres interventions extraoculaires, âge supérieur à 17 ans, niveau 4;13 596,67;5 824,70 €
02C08J;Autres interventions extraoculaires, âge supérieur à 17 ans, en ambulatoire;1 353,42;569,40 €
02C091;Allogreffes de cornée, niveau 1;1 953,48;1 503,50 €
02C091;Allogreffes de cornée, niveau 1;3 083,34;2 613,60 €
02C092;Allogreffes de cornée, niveau 2;5 107,42;4 298,20 €
02C092;Allogreffes de cornée, niveau 2;3 977,58;5 408,30 €
02C093;Allogreffes de cornée, niveau 3;8 921,93;9 843,90 €
02C093;Allogreffes de cornée, niveau 3;7 792,06;8 733,90 €
02C094;Allogreffes de cornée, niveau 4;13 399,67;16 591,40 €
02C094;Allogreffes de cornée, niveau 4;14 529,51;15 481,40 €
02C09J;Allogreffes de cornée, en ambulatoire;3 083,34;2 613,60 €
02C09J;Allogreffes de cornée, en ambulatoire;1 953,48;1 503,50 €
02C101;Autres interventions intraoculaires pour affections sévères, niveau 1;2 477,02;782,70 €
02C102;Autres interventions intraoculaires pour affections sévères, niveau 2;5 448,81;2 292,00 €
02C103;Autres interventions intraoculaires pour affections sévères, niveau 3;9 864,34;3 276,00 €
02C104;Autres interventions intraoculaires pour affections sévères, niveau 4;20 163,69;6 169,40 €
02C10J;Autres interventions intraoculaires pour affections sévères, en ambulatoire;2 477,02;782,70 €
02C111;Autres interventions intraoculaires en dehors des affections sévères, niveau 1;1 295,85;624,10 €
02C112;Autres interventions intraoculaires en dehors des affections sévères, niveau 2;4 378,13;2 781,60 €
02C113;Autres interventions intraoculaires en dehors des affections sévères, niveau 3;12 202,97;6 155,40 €
02C114;Autres interventions intraoculaires en dehors des affections sévères, niveau 4;15 919,68;8 030,20 €
02C11J;Autres interventions intraoculaires en dehors des affections sévères, en ambulatoire;1 295,85;624,10 €
02C11J;Autres interventions intraoculaires en dehors des affections sévères, en ambulatoire;188,95;82,30 €
02C121;Interventions sur le cristallin avec trabéculectomie, niveau 1;2 267,61;1 146,10 €
02C122;Interventions sur le cristallin avec trabéculectomie, niveau 2;4 679,22;2 994,90 €
02C123;Interventions sur le cristallin avec trabéculectomie, niveau 3;10 614,42;6 627,40 €
02C124;Interventions sur le cristallin avec trabéculectomie, niveau 4;13 847,49;8 646,10 €
02C12J;Interventions sur le cristallin avec trabéculectomie, en ambulatoire;2 267,61;1 146,10 €
02C131;Interventions sur les muscles oculomoteurs, âge inférieur à 18 ans, niveau 1;1 772,80;645,60 €
02C132;Interventions sur les muscles oculomoteurs, âge inférieur à 18 ans, niveau 2;4 451,14;3 100,20 €
02C133;Interventions sur les muscles oculomoteurs, âge inférieur à 18 ans, niveau 3;9 764,23;5 908,00 €
02C134;Interventions sur les muscles oculomoteurs, âge inférieur à 18 ans, niveau 4;13 161,89;7 491,80 €
02C13J;Interventions sur les muscles oculomoteurs, âge inférieur à 18 ans, en ambulatoire;1 772,80;645,60 €
02M021;Hyphéma, niveau 1;965,61;211,80 €
02M021;Hyphéma, niveau 1;391,82;455,90 €
02M022;Hyphéma, niveau 2;3 256,94;1 593,40 €
02M023;Hyphéma, niveau 3;5 995,23;2 196,20 €
02M024;Hyphéma, niveau 4;8 301,20;4 170,60 €
